caged_accessed|Accessed.|Accessed.
caged_activated|Activated.|Activated.
caged_activate_wifi|I've noticed we are not connected to a network. For me to operate at full capacity, please activate the wifi settings on your device.|I've noticed we are not connected to a network. For me to operate at full capacity, please activate the wifi settings on your device.
caged_alarm_settings_help|Accessing Alarm and Interface settings. In this window, you can set up your customized greeting and alarm preferences.|Accessing Alarm and Interface settings. In this window, you can set up your customized greeting and alarm preferences.
caged_ask_0|Should you need anything, you need only ask.|Should you need anything, you need only ask.
caged_ask_1|Remember, I am a voice activated system.|Remember, I am a voice activated system.
caged_battery_charged|Your device is now at full power.|Your device is now at full power.
caged_battery_charging_0|though it isn't quite an arc reactor, this power source should suffice.|though it isn't quite an arc reactor, this power source should suffice.
caged_battery_charging_1|charging.|charging.
caged_battery_low_0|Your device is running low on power.|Your device is running low on power.
caged_battery_low_1|Your device is now running at dangerously low power levels.|Your device is now running at dangerously low power levels.
caged_battery_low_2|We're now running on emergency backup power.|We're now running on emergency backup power.
caged_bd_adjusting|Adjusting display.|Adjusting display.
caged_bd_bonus_features|Accessing bonus features.|Accessing bonus features.
caged_bd_calibrating|Calibrating settings and playback.|Calibrating settings and playback.
caged_bd_deleted_scenes|Accessing deleted scenes.|Accessing deleted scenes.
caged_bd_feature_0|Playback initiated.|Playback initiated.
caged_bd_feature_1|disabling voice commands during playback.|disabling voice commands during playback.
caged_bd_languages|languages.|languages.
caged_bd_pause|Pausing playback.|Pausing playback.
caged_bd_popup|pop-up menu accessed.|pop-up menu accessed.
caged_bd_settings|The settings are now available.|The settings are now available.
caged_bd_setup|Setup.|Setup.
caged_bd_subs_off|Deactivating subtitles.|Deactivating subtitles.
caged_bd_subs_on|Activating subtitles.|Activating subtitles.
caged_bd_topmenu|Top Menu Accessed.|Top Menu Accessed.
caged_camera_off|Camera disabled.|Camera disabled.
caged_camera_on|Camera activated.|Camera activated.
caged_clock_accessing_0|Accessing Alarm and Interface settings. In this window, you can set up your customized greeting and alarm preferences.|Accessing Alarm and Interface settings. In this window, you can set up your customized greeting and alarm preferences.
caged_clock_accessing_1|Accessing chronographic display.|Accessing chronographic display.
caged_clock_afternoon|Still plenty of time to save the day. Please make the most of it.|Still plenty of time to save the day. Please make the most of it.
caged_clock_alarm_am_or_pm|Please indicate a time, and AM or PM.|Please indicate a time, and AM or PM.
caged_clock_alarm_cancelled_0|Alarm cancelled.|Alarm cancelled.
caged_clock_alarm_daily|Daily it is.|Daily it is.
caged_clock_alarm_set_0|Alarm set for.|Alarm set for.
caged_clock_alarm_set_1|Thank you. The alarm is set.|Thank you. The alarm is set.
caged_clock_alarm_snooze_0|Enjoy your delay of the inevitable.|Enjoy your delay of the inevitable.
caged_clock_alarm_snooze_1|Evasive maneuvers acknowledged.|Evasive maneuvers acknowledged.
caged_clock_alarm_snooze_2|The world needs your expertise, or at least your presence.|The world needs your expertise, or at least your presence.
caged_clock_alarm_snooze_3|We appear to be at an impasse. You wish to sleep, but it is my duty to wake you.|We appear to be at an impasse. You wish to sleep, but it is my duty to wake you.
caged_clock_alarm_snooze_4|Ample time to prepare for your scheduled event. One hopes.|Ample time to prepare for your scheduled event. One hopes.
caged_clock_alarm_snooze_5|We appear to be at an impasse.|We appear to be at an impasse.
caged_clock_alarm_snooze_6|This is my third attempt to wake you. Perhaps I should just cancel the alarm.|This is my third attempt to wake you. Perhaps I should just cancel the alarm.
caged_clock_alarm_snooze_7|Maybe you should have chosen a later time, because clearly you don't want to get up.|Maybe you should have chosen a later time, because clearly you don't want to get up.
caged_clock_alarm_wake_0|I'm afraid your time to rest is at an end.|I'm afraid your time to rest is at an end.
caged_clock_alarm_wake_1|I must insist that you wake up.|I must insist that you wake up.
caged_clock_alarm_wake_2_m|Please wake up, ma'am.|Please wake up, ma'am.
caged_clock_alarm_wake_2_s|Please wake up, sir.|Please wake up, sir.
caged_clock_alarm_wake_3|Here's some music to start your day.|Here's some music to start your day.
caged_clock_alarm_wake_4|I apologize for the disturbance, but it's time for you to wake up.|I apologize for the disturbance, but it's time for you to wake up.
caged_clock_alarm_wake_5|As requested, here is my attempt to wake you.|As requested, here is my attempt to wake you.
caged_clock_alarm_weekdays|weekdays it is.|weekdays it is.
caged_clock_am|AM.|AM.
caged_clock_help|Accessing chronographic display.|Accessing chronographic display.
caged_clock_late_0|If you're having trouble sleeping, might I suggest a soothing herbal tea?|If you're having trouble sleeping, might I suggest a soothing herbal tea?
caged_clock_late_1|Hopefully you're enjoying a night on the town. Please let me know if I can be of any assistance.|Hopefully you're enjoying a night on the town. Please let me know if I can be of any assistance.
caged_clock_late_2_m|I see that we're burning the midnight oil. Don't work too hard, ma'am.|I see that we're burning the midnight oil. Don't work too hard, ma'am.
caged_clock_late_2_s|I see that we're burning the midnight oil. Don't work too hard, sir.|I see that we're burning the midnight oil. Don't work too hard, sir.
caged_clock_pm|PM.|PM.
caged_clock_reminder_alert_0|There is a matter that requires your immediate attention.|There is a matter that requires your immediate attention.
caged_clock_reminder_alert_1|May I remind you that you have a meeting to attend?|May I remind you that you have a meeting to attend?
caged_clock_reminder_alert_2|There is an onscreen alert.|There is an onscreen alert.
caged_clock_reminder_alert_3|Your presence has been requested. It's nice to be needed.|Your presence has been requested. It's nice to be needed.
caged_clock_reminder_alert_4|Per your request, here is your reminder.|Per your request, here is your reminder.
caged_clock_reminder_alert_5|I know you were busy. However, here is your reminder.|I know you were busy. However, here is your reminder.
caged_clock_reminder_alert_6|I recall you asking me to remind you about something important, but I can't recall.|I recall you asking me to remind you about something important, but I can't recall.
caged_clock_reminder_alert_7|Here is your reminder. Have a wonderful day.|Here is your reminder. Have a wonderful day.
caged_clock_reminder_off|Reminder cancelled.|Reminder cancelled.
caged_clock_reminder_set_0|Reminder set for...|Reminder set for...
caged_clock_reminder_set_1|Thank you. The reminder is set.|Thank you. The reminder is set.
caged_clock_time_0|The time is now.|The time is now.
caged_clock_time_1|it is.|it is.
caged_commands_show_alt|launching a series of displays to help guide you. I'm not used to the technical specifications of this device, but I will do my best.|launching a series of displays to help guide you. I'm not used to the technical specifications of this device, but I will do my best.
caged_confirm_0_m|Very good, ma'am.|Very good, ma'am.
caged_confirm_0_s|Very good, sir.|Very good, sir.
caged_confirm_1|Enjoy.|Enjoy.
caged_confirm_10_m|For you, ma'am, anything.|For you, ma'am, anything.
caged_confirm_10_s|For you, sir. Anything.|For you, sir. Anything.
caged_confirm_11|a wise selection.|a wise selection.
caged_confirm_2|It would be my pleasure.|It would be my pleasure.
caged_confirm_3|An excellent choice.|An excellent choice.
caged_confirm_4|Affirmative.|Affirmative.
caged_confirm_5|Initiated.|Initiated.
caged_confirm_6|Done.|Done.
caged_confirm_7|Your input is greatly appreciated.|Your input is greatly appreciated.
caged_confirm_8|Thank you so much for your request.|Thank you so much for your request.
caged_confirm_9|as you wish.|as you wish.
caged_date_01|first.|first.
caged_date_02|Second.|Second.
caged_date_03|Third.|Third.
caged_date_04|forth.|forth.
caged_date_05|fifth.|fifth.
caged_date_06|Sixth.|Sixth.
caged_date_07|Seventh.|Seventh.
caged_date_08|eighth.|eighth.
caged_date_09|Ninth.|Ninth.
caged_date_10|10th.|10th.
caged_date_11|11th.|11th.
caged_date_12|12th.|12th.
caged_date_13|13th.|13th.
caged_date_14|14th.|14th.
caged_date_15|15th.|15th.
caged_date_16|16th.|16th.
caged_date_17|17th.|17th.
caged_date_18|18th.|18th.
caged_date_19|19th.|19th.
caged_date_20|20th.|20th.
caged_date_21|21st.|21st.
caged_date_22|22nd.|22nd.
caged_date_23|23rd.|23rd.
caged_date_24|24th.|24th.
caged_date_25|25th.|25th.
caged_date_26|26th.|26th.
caged_date_27|27th.|27th.
caged_date_28|28th.|28th.
caged_date_29|29th.|29th.
caged_date_30|30th.|30th.
caged_date_31|31st.|31st.
caged_date_the|The|The
caged_day_friday|Friday.|Friday.
caged_day_monday|Monday.|Monday.
caged_day_saturday|Saturday.|Saturday.
caged_day_sunday|Sunday.|Sunday.
caged_day_thursday|Thursday.|Thursday.
caged_day_tuesday|Tuesday.|Tuesday.
caged_day_wednesday|Wednesday.|Wednesday.
caged_evening|Have a peaceful evening.|Have a peaceful evening.
caged_goodnight|Good night.|Good night.
caged_instructions|Not too complicated, a bit of light reading to walk you through the instructions.|Not too complicated, a bit of light reading to walk you through the instructions.
caged_intro_2|Allow me to introduce myself. I am Jarvis, a virtual artificial intelligence, and I'm here to assist you with a variety of tasks as best I can. 24 hours a day, seven days a week.|Allow me to introduce myself. I am Jarvis, a virtual artificial intelligence, and I'm here to assist you with a variety of tasks as best I can. 24 hours a day, seven days a week.
caged_intro_a|Remote upload sequence initiated. Importing all preferences from home interface. Begin systems check. I'm not used to the technical specifications of this device, but I will do my best. Upload nearly complete. It appears I will be roughing it. Online and ready. The time is...|Remote upload sequence initiated. Importing all preferences from home interface. Begin systems check. I'm not used to the technical specifications of this device, but I will do my best. Upload nearly complete. It appears I will be roughing it. Online and ready. The time is...
caged_intro_c|You have no messages.|You have no messages.
caged_intro_settings_gender|Voice commands are now functional. Please indicate if you would like to be referred to as Sir or Ma'am.|Voice commands are now functional. Please indicate if you would like to be referred to as Sir or Ma'am.
caged_intro_settings_temp|Would you prefer your weather readings in Fahrenheit or Celsius?|Would you prefer your weather readings in Fahrenheit or Celsius?
caged_just_kidding|Just kidding.|Just kidding.
caged_listening_off_0|Voice commands disabled.|Voice commands disabled.
caged_listening_off_2|Unless you need anything, I'll be running diagnostics.|Unless you need anything, I'll be running diagnostics.
caged_listening_on_0_m|Greetings, ma'am.|Greetings, ma'am.
caged_listening_on_0_s|Greetings, sir.|Greetings, sir.
caged_listening_on_1|Welcome back. How may I be of assistance?|Welcome back. How may I be of assistance?
caged_listening_on_10|Resuming voice command.|Resuming voice command.
caged_listening_on_11|Resuming voice commands.|Resuming voice commands.
caged_listening_on_2|May I be of any assistance?|May I be of any assistance?
caged_listening_on_3|Awaiting instructions.|Awaiting instructions.
caged_listening_on_4|At your service.|At your service.
caged_listening_on_5|Ready when you are.|Ready when you are.
caged_listening_on_6|Systems are now fully operational.|Systems are now fully operational.
caged_listening_on_7|Is there anything I can help you with?|Is there anything I can help you with?
caged_listening_on_8|Voice commands enabled.|Voice commands enabled.
caged_listening_on_9|Voice commands enabled.|Voice commands enabled.
caged_listening_on_afternoon|Good afternoon.|Good afternoon.
caged_listening_on_evening|Good evening.|Good evening.
caged_listening_on_morning|Good morning.|Good morning.
caged_location|Please activate the location services on your device so I can pinpoint your current location.|Please activate the location services on your device so I can pinpoint your current location.
caged_media_accessing|Accessing.|Accessing.
caged_media_play|Here is the media that you requested.|Here is the media that you requested.
caged_messages_cancelled|cancelled.|cancelled.
caged_messages_help|Accessing the Alert section. Feel free to customize and I'll be able to keep you apprised of the most pressing events.|Accessing the Alert section. Feel free to customize and I'll be able to keep you apprised of the most pressing events.
caged_message_email|Incoming email.|Incoming email.
caged_message_email_check|Please check your email.|Please check your email.
caged_message_email_new|Yet another email.|Yet another email.
caged_message_email_sent|Email sent.|Email sent.
caged_message_meeting_0|Another meeting has been scheduled for you to ignore.|Another meeting has been scheduled for you to ignore.
caged_message_new_0|A message has arrived for you. It could be important.|A message has arrived for you. It could be important.
caged_message_new_1|Excuse me, there is a message for you.|Excuse me, there is a message for you.
caged_message_new_2|Yet another message. Apparently you're in high demand today.|Yet another message. Apparently you're in high demand today.
caged_message_new_3|There is a message for you. It could be urgent.|There is a message for you. It could be urgent.
caged_message_new_4|Incoming message.|Incoming message.
caged_message_new_5|Pardon the interruption, but I believe you may find this quite interesting. Shall I show it for you?|Pardon the interruption, but I believe you may find this quite interesting. Shall I show it for you?
caged_message_new_6|I have some news which I believe you will find most interesting.|I have some news which I believe you will find most interesting.
caged_message_new_7|Forgive the interruption, but I believe this requires your attention.|Forgive the interruption, but I believe this requires your attention.
caged_message_sending|Sending now.|Sending now.
caged_message_sent|sent.|sent.
caged_message_text|You have received a text message.|You have received a text message.
caged_message_voicemail|Please excuse the interruption, but you have a new voice message.|Please excuse the interruption, but you have a new voice message.
caged_message_voicemail_0|you have a new voice message.|you have a new voice message.
caged_message_voicemail_1|Your attempt to ignore the caller failed. They have decided to leave you a message.|Your attempt to ignore the caller failed. They have decided to leave you a message.
caged_month_april|April.|April.
caged_month_august|August.|August.
caged_month_december|December.|December.
caged_month_february|February.|February.
caged_month_january|January.|January.
caged_month_july|July.|July.
caged_month_june|June.|June.
caged_month_march|March.|March.
caged_month_may|May.|May.
caged_month_november|November|November
caged_month_october|October.|October.
caged_month_september|September.|September.
caged_network_lost_wifi|We seem to have lost network connection.|We seem to have lost network connection.
caged_network_no_wifi|Please connect to a network. There are still terabytes of calculations to be run.|Please connect to a network. There are still terabytes of calculations to be run.
caged_num_0|Zero.|Zero.
caged_num_01|Oh one|Oh one
caged_num_02|O2|O2
caged_num_03|03|03
caged_num_04|04|04
caged_num_05|O5|O5
caged_num_06|06|06
caged_num_07|07|07
caged_num_08|08|08
caged_num_09|09|09
caged_num_10|10.|10.
caged_num_100|100.|100.
caged_num_11|11|11
caged_num_12|12.|12.
caged_num_13|13.|13.
caged_num_14|14.|14.
caged_num_15|15.|15.
caged_num_16|16.|16.
caged_num_17|17.|17.
caged_num_18|18.|18.
caged_num_19|19.|19.
caged_num_20|20.|20.
caged_num_21|21.|21.
caged_num_22|22.|22.
caged_num_23|23.|23.
caged_num_24|24.|24.
caged_num_25|25.|25.
caged_num_26|26.|26.
caged_num_27|27.|27.
caged_num_28|28|28
caged_num_29|29|29
caged_num_3|Three.|Three.
caged_num_31|31.|31.
caged_num_32|32.|32.
caged_num_33|33.|33.
caged_num_34|34.|34.
caged_num_35|35.|35.
caged_num_36|36.|36.
caged_num_37|37.|37.
caged_num_38|38.|38.
caged_num_39|39.|39.
caged_num_4|Four.|Four.
caged_num_40|40.|40.
caged_num_41|41.|41.
caged_num_42|42|42
caged_num_43|43.|43.
caged_num_44|44.|44.
caged_num_45|45.|45.
caged_num_46|46.|46.
caged_num_47|47.|47.
caged_num_48|48.|48.
caged_num_49|49.|49.
caged_num_5|Five.|Five.
caged_num_50|50.|50.
caged_num_51|51.|51.
caged_num_52|52.|52.
caged_num_53|53.|53.
caged_num_54|54.|54.
caged_num_55|55.|55.
caged_num_56|56.|56.
caged_num_57|57.|57.
caged_num_58|58.|58.
caged_num_59|59.|59.
caged_num_6|Six.|Six.
caged_num_60|60|60
caged_num_7|Seven.|Seven.
caged_num_70|70.|70.
caged_num_8|8|8
caged_num_80|80.|80.
caged_num_9|Nine.|Nine.
caged_num_90|90|90
caged_power_down||
caged_repeat_1|It seems we are missing a step.|It seems we are missing a step.
caged_repeat_2|Your request doesn't match any of my protocols. Shall we try again?|Your request doesn't match any of my protocols. Shall we try again?
caged_repeat_3|Unfortunately, I don't understand your request. Shall we try this again?|Unfortunately, I don't understand your request. Shall we try this again?
